"Emission factors for MOZART species to use with GFAS emissions, created 2026/02/11."
Based on NEIVA and used in FINNv2.6. Peat from GFAS4HTAP table or copied crops.
All emission factors are in units of g/kg(DM).
Contact: Louisa Emmons (emmons@ucar.edu)
species,long_name,tropical_forest,temperate_forest,boreal_forest,savanna,crop_residue,peat
CH3COOH,acetic acid,3.053,2.514,3.384,3.401,2.655,5.498
BIACETYL,biacetyl,0.730,0.604,0.228,0.885,0.383,0.383
FURAN,furan,0.410,0.396,0.503,0.335,0.253,0.253
FURAN2M,"furan, 2-methyl",0.080,0.191,0.270,0.230,0.181,0.181
FURAN3M,"furan, 3-methyl",0.590,0.028,0.018,0.012,0.027,0.027
FURAN25M,"furan, 2,5-methyl",0.000,0.085,0.129,0.274,0.161,0.161
FURANONE,"furanone, 2-",0.000,0.484,0.334,0.939,0.724,0.724
FURFAL,furfural,0.290,1.270,1.167,2.889,1.806,1.806
MALARKY,maleic anhydride,0.000,0.097,0.070,0.109,0.063,0.063
ALKNIT,alkyl nitrates,0.020,0.160,0.020,0.030,0.090,0.020
PHENOL,phenol,0.450,0.390,1.250,0.430,0.410,0.000
CRESOL,cresol,0.000,0.320,0.320,0.490,0.430,0.000
BZALD,benzaldehyde,0.380,0.590,0.240,0.490,0.480,0.480
bc_a4,black carbon MAM,0.344,0.435,0.130,0.350,0.446,0.016
pom_a4,primary organic matter MAM,6.160,15.820,8.260,4.200,6.860,13.173
num_a4_bc,number bc MAM,1.93E+18,2.44E+18,7.28E+17,1.96E+18,2.50E+18,8.99E+16
num_a4_pom,number pom MAM,5.87E+19,1.51E+20,7.87E+19,4.00E+19,6.54E+19,1.26E+20
SVOC,semivolatile OC for VBS SOA,0.143,0.367,0.192,0.098,0.159,0.159
IVOC,intermed.vol. for VBS SOA,4.091,6.830,6.803,5.480,6.090,6.090
SOAE,SOAG for MAM-SOA,42.130,82.135,96.747,54.312,61.756,61.756
